reportDate,zip,confirmed_cases,total_tested
1/26/2021 12:00:00 AM,61089,46,371
1/26/2021 12:00:00 AM,61091,8,42
1/26/2021 12:00:00 AM,61101,1621,18277
1/26/2021 12:00:00 AM,61102,1784,14470
1/26/2021 12:00:00 AM,61103,2006,26406
1/26/2021 12:00:00 AM,61104,1631,14253
1/26/2021 12:00:00 AM,61105,14,197
1/26/2021 12:00:00 AM,61107,2974,37273
1/26/2021 12:00:00 AM,61108,3030,32109
1/26/2021 12:00:00 AM,61109,2531,21270
1/26/2021 12:00:00 AM,61111,2210,25300
1/26/2021 12:00:00 AM,61112,29,956
1/26/2021 12:00:00 AM,61114,1495,19204
1/26/2021 12:00:00 AM,61115,2055,19988
1/26/2021 12:00:00 AM,61125,10,92
1/26/2021 12:00:00 AM,61126,10,128
1/26/2021 12:00:00 AM,61132,8,112
1/26/2021 12:00:00 AM,61201,3064,37630
1/26/2021 12:00:00 AM,61204,16,147
1/26/2021 12:00:00 AM,61230,105,575
1/26/2021 12:00:00 AM,61231,425,5877
1/26/2021 12:00:00 AM,61232,133,1096
1/26/2021 12:00:00 AM,61233,38,501
1/26/2021 12:00:00 AM,61234,102,1160
1/26/2021 12:00:00 AM,61235,98,1430
1/26/2021 12:00:00 AM,61236,9,90
1/26/2021 12:00:00 AM,61238,237,2509
1/26/2021 12:00:00 AM,61239,63,811
1/26/2021 12:00:00 AM,61240,462,4907
1/26/2021 12:00:00 AM,61241,565,5697
1/26/2021 12:00:00 AM,61242,79,711
1/26/2021 12:00:00 AM,61243,11,77
1/26/2021 12:00:00 AM,61244,2133,28398
1/26/2021 12:00:00 AM,61250,237,1879
1/26/2021 12:00:00 AM,61251,29,226
1/26/2021 12:00:00 AM,61252,491,2976
1/26/2021 12:00:00 AM,61254,885,12251
1/26/2021 12:00:00 AM,61256,161,1481
1/26/2021 12:00:00 AM,61257,76,865
1/26/2021 12:00:00 AM,61258,15,215
1/26/2021 12:00:00 AM,61259,66,617
1/26/2021 12:00:00 AM,61260,46,474
1/26/2021 12:00:00 AM,61261,73,696
1/26/2021 12:00:00 AM,61262,55,557
1/26/2021 12:00:00 AM,61263,51,641
1/26/2021 12:00:00 AM,61264,755,8039
1/26/2021 12:00:00 AM,61265,3705,37945
1/26/2021 12:00:00 AM,61266,6,89
1/26/2021 12:00:00 AM,61270,744,5104
1/26/2021 12:00:00 AM,61272,91,760
1/26/2021 12:00:00 AM,61273,275,2450
1/26/2021 12:00:00 AM,61274,17,244
1/26/2021 12:00:00 AM,61275,362,3354
1/26/2021 12:00:00 AM,61276,8,101
1/26/2021 12:00:00 AM,61277,350,5674
1/26/2021 12:00:00 AM,61278,43,390
1/26/2021 12:00:00 AM,61279,72,683
1/26/2021 12:00:00 AM,61281,213,1971
1/26/2021 12:00:00 AM,61282,730,8912
1/26/2021 12:00:00 AM,61283,86,860
1/26/2021 12:00:00 AM,61284,188,1663
1/26/2021 12:00:00 AM,61285,442,4070
1/26/2021 12:00:00 AM,61301,947,11492
1/26/2021 12:00:00 AM,61310,312,2531
1/26/2021 12:00:00 AM,61311,22,130
1/26/2021 12:00:00 AM,61312,34,310
1/26/2021 12:00:00 AM,61313,27,191
1/26/2021 12:00:00 AM,61314,76,570
1/26/2021 12:00:00 AM,61315,21,205
1/26/2021 12:00:00 AM,61316,22,397
1/26/2021 12:00:00 AM,61317,36,264
1/26/2021 12:00:00 AM,61318,42,350
1/26/2021 12:00:00 AM,61319,99,1119
1/26/2021 12:00:00 AM,61320,44,509
1/26/2021 12:00:00 AM,61321,21,223
1/26/2021 12:00:00 AM,61322,186,864
1/26/2021 12:00:00 AM,61325,81,916
1/26/2021 12:00:00 AM,61326,158,1334
1/26/2021 12:00:00 AM,61327,70,1174
1/26/2021 12:00:00 AM,61329,111,949
1/26/2021 12:00:00 AM,61330,120,1034
1/26/2021 12:00:00 AM,61333,42,429
1/26/2021 12:00:00 AM,61334,56,360
1/26/2021 12:00:00 AM,61335,30,364
1/26/2021 12:00:00 AM,61336,26,377
1/26/2021 12:00:00 AM,61337,40,360
1/26/2021 12:00:00 AM,61338,30,238
1/26/2021 12:00:00 AM,61340,19,305
1/26/2021 12:00:00 AM,61341,651,7915
